Measurement Name :,20190125_resp_larvae,,Generated On :,"25/01/2019, 02:05:05",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"25/01/2019, 01:42:04",,,,,,Batch No.:  ,PSt5-1814-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"25/01/2019, 02:04:46",,,,,,O2_cal0 [°],54.84,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-641,,,,,,O2_T0 [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],968,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
25.01.19 01:42:07,0.05,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,322.45,No Sensor,No Sensor,336.83,No Sensor,No Sensor,No Sensor,316.02,No Sensor,No Sensor,No Sensor,No Sensor,323.83,No Sensor,,14,968,28.5,13.19,
25.01.19 01:42:22,0.3,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,309.18,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,317.85,No Sensor,No Sensor,No Sensor,No Sensor,322.91,No Sensor,,14,968,28.5,13.23,
25.01.19 01:42:37,0.55,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,305.1,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,317.85,No Sensor,No Sensor,No Sensor,No Sensor,306.91,No Sensor,,14,968,28.5,13.27,
25.01.19 01:43:15,1.18,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,328.92,341.04,No Sensor,No Sensor,277.85,277.85,280.94,275.21,272.14,269.51,269.95,266.02,,14,968,28.5,13.3,
25.01.19 01:43:30,1.43,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,337.76,329.84,No Sensor,No Sensor,277.85,277.41,285.37,278.29,272.58,269.51,271.26,265.59,,14,968,28.5,13.32,
25.01.19 01:44:05,2.02,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,314.19,314.19,302.83,No Sensor,275.65,276.97,279.62,276.53,273.45,269.08,270.83,266.46,,14,968,28.5,13.34,
25.01.19 01:44:20,2.27,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,331.7,320.61,No Sensor,No Sensor,278.29,277.41,283.15,275.65,273.02,269.08,271.7,268.64,,14,968,28.5,13.39,
25.01.19 01:44:35,2.52,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,311.91,316.94,No Sensor,No Sensor,275.21,274.77,282.71,273.45,270.83,267.77,269.51,265.15,,14,968,28.5,13.41,
25.01.19 01:45:32,3.47,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,322.91,No Sensor,,14,968,28.5,13.41,
25.01.19 01:45:47,3.72,No Sensor,323.83,338.23,292.5,No Sensor,330.77,323.37,330.77,316.02,303.74,299.23,292.05,334.96,329.84,298.78,312.37,337.76,318.31,314.19,No Sensor,No Sensor,No Sensor,316.94,No Sensor,,14,968,28.5,13.45,
25.01.19 01:46:02,3.97,306.45,296.53,300.58,284.93,347.16,311.45,300.13,300.58,294.29,297.88,290.27,287.15,321.53,310.09,295.18,292.5,311,307.36,308.72,305.1,No Sensor,No Sensor,306.45,No Sensor,,14,968,28.5,13.48,
25.01.19 01:46:17,4.22,299.23,295.18,293.39,282.71,342.92,303.74,295.63,296.08,295.18,294.74,290.71,283.15,316.02,302.83,290.71,290.71,313.28,303.74,311,292.05,No Sensor,No Sensor,316.02,No Sensor,,14,968,28.5,13.5,
25.01.19 01:46:32,4.47,332.63,319.69,321.99,294.29,No Sensor,No Sensor,352.36,346.21,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,14,968,28.5,13.55,
25.01.19 01:46:47,4.72,297.43,299.68,309.18,296.98,355.21,327.53,317.85,328.92,307.36,311.45,298.33,311.45,347.63,347.16,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,14,968,28.5,13.57,
25.01.19 01:47:02,4.97,304.64,293.39,292.5,280.06,342.45,302.83,300.13,296.98,296.08,294.29,288.48,285.81,334.03,310.09,297.43,301.93,320.61,317.39,309.18,304.64,No Sensor,No Sensor,332.17,No Sensor,,14,968,28.5,13.59,
25.01.19 01:47:17,5.22,299.23,292.95,291.16,276.09,347.63,297.88,296.98,294.29,293.84,297.88,284.93,291.16,340.1,316.94,301.48,297.88,No Sensor,325.21,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,14,968,28.5,13.62,
25.01.19 01:47:32,5.47,310.54,295.18,296.98,280.06,349.04,310.09,302.38,300.13,311,297.43,289.82,290.71,340.1,328.92,316.94,314.19,No Sensor,334.49,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,14,968,28.5,13.64,
25.01.19 01:47:47,5.72,311,296.53,296.08,282.71,360.45,318.77,301.03,306.91,305.1,294.29,290.27,287.15,No Sensor,331.24,No Sensor,310.09,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,14,968,28.5,13.66,
25.01.19 01:48:03,5.98,315.11,300.58,304.19,283.15,370.54,322.45,327.53,319.23,No Sensor,329.38,299.23,292.05,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,14,968,28.5,13.68,
25.01.19 01:48:18,6.23,No Sensor,352.36,349.04,301.93,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,14,968,28.5,13.69,
25.01.19 01:48:33,6.48,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,14,968,28.5,13.7,
25.01.19 01:52:22,10.3,291.6,300.58,298.33,284.93,347.16,329.84,327.99,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,14,968,28.5,14.5,
25.01.19 01:52:37,10.55,No Sensor,No Sensor,No Sensor,321.99,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,14,968,28.5,14.53,
25.01.19 01:52:52,10.8,281.38,284.04,281.82,273.45,291.16,284.93,287.15,281.82,283.6,282.71,276.97,280.5,284.48,284.04,284.04,276.09,285.37,287.15,290.27,273.89,313.28,295.18,298.33,292.95,,14,968,28.5,14.55,
25.01.19 01:53:07,11.05,282.27,284.48,281.82,273.45,291.6,284.93,287.15,282.27,283.15,281.82,278.29,279.17,285.37,288.04,282.71,275.65,288.04,289.82,291.6,276.97,319.23,298.78,290.71,288.04,,14,968,28.5,14.55,
25.01.19 01:53:22,11.3,281.82,284.48,280.5,273.02,292.5,283.15,286.26,282.71,284.04,282.71,276.53,280.94,285.37,285.81,281.38,276.09,285.37,287.59,293.84,277.41,311.91,300.13,295.63,294.29,,14,968,28.5,14.57,
25.01.19 01:53:37,11.55,282.27,282.71,280.94,273.45,292.5,281.38,284.93,283.15,283.6,282.27,277.85,279.62,284.48,286.7,280.94,278.29,285.37,288.04,288.93,273.89,317.39,296.98,295.18,286.26,,14,968,28.5,14.57,
25.01.19 01:53:52,11.8,281.38,283.6,280.94,273.45,289.37,283.15,284.93,282.71,284.48,282.27,277.41,280.06,285.81,287.59,284.04,276.09,288.93,288.04,290.71,276.09,319.23,298.33,297.88,292.05,,14,968,28.5,14.57,
25.01.19 01:54:07,12.05,283.15,282.71,281.38,273.02,290.71,282.27,284.48,283.6,285.37,281.38,278.73,279.62,286.26,288.04,280.94,276.97,284.93,286.26,288.48,275.21,315.56,300.13,296.98,290.27,,14,968,28.5,14.59,
25.01.19 01:54:23,12.32,282.71,281.82,280.06,273.02,290.27,282.71,284.04,284.04,284.48,283.6,277.41,279.62,284.93,286.26,282.27,276.53,288.93,289.37,289.82,277.85,311.45,300.13,298.33,292.5,,14,968,28.5,14.59,
25.01.19 01:54:38,12.57,282.71,282.71,280.06,273.02,291.16,280.94,285.37,280.94,283.15,284.04,279.17,280.06,286.26,285.81,282.71,276.53,286.26,287.59,290.27,275.65,313.73,297.43,295.63,287.59,,14,968,28.5,14.59,
25.01.19 01:54:53,12.82,281.82,282.71,278.73,272.58,291.16,283.6,282.71,282.71,283.6,281.82,277.85,279.17,287.59,286.26,281.82,276.97,287.59,288.93,290.27,276.97,307.36,295.18,298.78,296.08,,14,968,28.5,14.59,
25.01.19 01:55:08,13.07,282.71,281.82,280.5,273.02,290.71,282.71,284.48,283.6,281.82,282.71,278.73,279.17,288.04,286.26,281.82,277.41,287.15,288.04,289.82,275.65,319.23,292.95,296.08,295.63,,14,968,28.5,14.61,
25.01.19 01:55:23,13.32,281.38,281.38,280.5,272.58,290.71,283.15,284.93,281.82,284.93,282.71,277.41,278.29,287.15,285.81,282.27,276.97,283.6,288.04,288.48,275.65,309.63,294.29,296.98,289.82,,14,968,28.5,14.61,
25.01.19 01:55:38,13.57,281.38,282.27,279.62,272.58,291.16,284.48,284.93,282.27,284.93,284.04,278.29,277.85,286.7,287.59,282.27,277.41,285.37,288.04,288.48,276.53,311.91,294.29,296.08,296.53,,14,968,28.5,14.61,
25.01.19 01:55:53,13.82,283.15,282.27,278.73,273.45,292.5,283.15,284.04,283.15,284.93,282.27,279.62,280.06,288.04,287.59,283.6,279.17,288.04,288.48,289.37,278.29,313.73,297.43,297.88,296.98,,14,968,28.5,14.59,
25.01.19 01:56:08,14.07,281.38,281.82,279.17,272.58,290.27,282.27,285.81,284.93,284.04,282.27,278.29,278.29,285.37,285.81,280.94,276.09,286.26,289.37,290.27,279.62,315.56,294.29,292.5,294.74,,14,968,28.5,14.59,
25.01.19 01:56:24,14.33,279.62,278.73,278.29,270.83,287.59,280.94,283.6,282.71,280.94,280.5,275.65,276.53,283.15,283.6,279.17,275.21,281.82,283.6,290.71,275.65,310.54,295.63,296.08,288.93,,14,968,28.5,14.61,
25.01.19 01:56:39,14.58,281.82,281.82,280.06,272.58,290.27,282.71,284.04,284.04,284.04,281.82,278.73,277.41,286.7,288.48,283.15,276.09,287.15,290.27,290.27,276.97,317.39,297.43,296.08,295.18,,14,968,28.5,14.61,
25.01.19 01:56:54,14.83,281.38,282.27,278.73,272.14,290.71,282.71,284.48,282.71,283.6,283.15,277.85,277.41,286.26,287.59,280.94,277.85,287.15,288.48,291.16,275.65,309.63,293.84,295.63,292.05,,14,968,28.5,14.59,
25.01.19 01:57:09,15.08,281.82,283.6,280.06,273.89,292.05,284.04,283.15,284.04,284.04,283.15,279.17,280.06,286.26,288.04,284.04,277.41,290.27,288.93,290.27,276.97,316.02,295.63,293.84,298.78,,14,968,28.5,14.59,
25.01.19 01:57:24,15.33,278.73,277.41,276.97,271.26,288.93,280.06,282.27,281.38,281.38,277.85,276.97,279.17,284.48,285.81,282.71,273.45,280.94,284.48,291.6,276.53,304.64,295.63,293.84,288.93,,14,968,28.5,14.62,
25.01.19 01:57:39,15.58,278.73,278.73,278.29,270.83,287.59,279.62,283.6,282.27,281.82,281.38,276.53,278.29,285.81,284.04,281.82,276.53,284.93,285.81,290.27,278.29,304.64,292.95,292.95,284.48,,14,968,28.5,14.61,
25.01.19 01:57:54,15.83,281.82,281.82,280.06,273.45,290.27,283.15,283.6,283.15,285.37,282.71,280.06,279.17,285.37,285.81,281.38,276.53,288.93,287.15,290.71,279.62,313.28,296.98,297.88,291.6,,14,968,28.5,14.59,
25.01.19 01:58:09,16.08,281.82,280.5,279.17,273.02,291.16,282.27,284.48,283.6,283.6,280.5,280.06,279.62,287.59,287.15,283.15,276.97,288.48,287.59,292.05,275.21,321.53,296.08,294.29,292.95,,14,968,28.5,14.59,
25.01.19 01:58:24,16.33,280.94,281.82,280.06,272.58,291.6,281.38,284.04,282.71,283.6,284.04,279.17,280.06,286.26,287.59,281.82,278.29,286.7,287.15,291.6,277.41,310.09,295.63,296.08,291.16,,14,968,28.5,14.61,
25.01.19 01:58:39,16.58,280.94,281.82,279.62,272.58,290.71,282.71,283.6,282.71,284.04,281.82,277.85,278.73,286.7,287.59,284.04,276.97,288.04,286.26,288.93,280.94,311.91,297.43,296.08,290.71,,14,968,28.5,14.61,
25.01.19 01:58:54,16.83,280.5,282.27,279.17,273.02,290.71,283.6,286.26,283.6,284.48,283.15,280.06,277.85,286.7,287.15,283.6,278.73,286.26,288.93,290.27,278.29,313.28,295.63,297.43,288.04,,14,968,28.5,14.59,
25.01.19 01:59:09,17.08,279.62,280.94,279.17,271.7,290.71,282.27,283.6,281.82,284.48,283.15,277.41,278.29,283.6,288.48,281.82,276.53,285.37,286.7,292.05,276.97,307.36,298.33,296.53,298.78,,14,968,28.5,14.59,
25.01.19 01:59:24,17.33,281.82,282.27,279.17,272.58,291.16,282.27,284.48,284.04,283.15,283.15,279.62,279.62,287.15,287.59,284.48,276.53,287.15,288.04,288.93,273.45,313.28,295.63,292.5,292.05,,14,968,28.5,14.59,
25.01.19 01:59:39,17.58,280.5,281.38,280.06,272.14,289.37,282.71,284.48,284.04,285.37,280.06,277.85,277.85,285.37,289.37,282.71,277.85,285.37,284.93,290.27,275.21,319.23,295.63,296.53,288.04,,14,968,28.5,14.59,
25.01.19 01:59:54,17.83,280.94,281.38,279.62,273.02,291.16,282.71,284.04,284.04,284.48,283.15,279.62,279.62,286.7,288.48,284.04,275.21,286.26,287.15,290.27,280.06,308.27,296.08,294.74,293.84,,14,968,28.5,14.57,
25.01.19 02:00:09,18.08,280.5,281.38,279.62,272.14,289.37,283.6,283.6,284.04,283.6,282.71,278.29,280.5,284.48,287.59,281.82,276.09,285.37,287.15,290.71,277.41,309.63,292.5,292.95,292.5,,14,968,28.5,14.59,
25.01.19 02:00:24,18.33,281.82,281.38,279.17,273.02,289.37,281.38,285.37,284.04,283.15,283.6,278.73,279.62,285.37,288.93,283.15,275.65,287.59,287.59,292.5,278.29,315.56,301.93,298.33,292.05,,14,968,28.5,14.59,
25.01.19 02:00:39,18.58,280.5,281.38,279.17,271.26,288.93,281.38,284.04,281.82,282.71,280.5,278.29,278.73,285.81,287.59,282.71,276.09,286.26,288.04,290.71,273.45,313.28,296.98,296.53,287.15,,14,968,28.5,14.59,
25.01.19 02:00:54,18.83,279.62,280.94,279.62,273.45,288.93,282.71,283.6,281.82,284.48,282.71,278.73,279.62,287.59,286.26,282.27,276.53,285.37,285.37,291.16,275.65,307.82,297.43,296.98,297.43,,14,968,28.5,14.57,
25.01.19 02:01:09,19.08,280.06,280.94,278.73,271.26,289.82,282.27,284.04,282.71,283.6,283.6,279.17,280.06,286.26,290.27,280.94,276.97,286.26,287.59,287.15,275.65,311.45,298.33,296.53,289.82,,14,968,28.5,14.59,
25.01.19 02:01:24,19.33,279.17,280.5,280.06,272.14,292.05,283.6,283.6,282.27,284.93,282.27,280.06,278.73,285.81,287.59,281.82,277.85,288.04,289.82,292.05,276.97,311.45,296.98,295.63,292.5,,14,968,28.5,14.57,
25.01.19 02:01:39,19.58,280.5,282.27,279.17,272.14,289.82,282.27,283.15,282.71,283.15,281.82,279.17,279.17,284.04,288.48,281.38,277.41,286.26,287.59,289.82,275.65,315.56,294.29,295.63,293.84,,14,968,28.5,14.57,
25.01.19 02:01:54,19.83,276.53,276.09,278.29,271.7,288.04,280.06,281.38,282.27,280.94,280.94,276.97,277.85,282.27,285.37,281.38,277.41,282.71,284.48,292.95,278.29,308.72,297.43,289.37,292.95,,14,968,28.5,14.57,
25.01.19 02:02:09,20.08,279.62,281.38,277.85,271.7,289.82,282.27,284.04,281.38,282.27,283.15,277.41,278.29,283.6,287.15,282.71,276.09,288.04,288.48,290.71,278.73,318.77,296.98,300.13,290.27,,14,968,28.5,14.57,
25.01.19 02:02:24,20.33,280.5,282.27,279.17,272.58,290.71,282.27,284.93,281.82,285.37,283.15,279.62,280.5,284.93,288.48,281.82,279.62,287.59,288.93,293.39,275.65,313.73,300.58,294.74,296.08,,14,968,28.5,14.55,
25.01.19 02:02:39,20.58,280.5,280.94,279.17,273.02,292.05,283.15,284.04,281.38,284.04,283.6,277.85,279.62,285.37,289.37,285.37,278.29,285.81,287.15,291.6,278.29,319.23,297.43,294.29,295.63,,14,968,28.5,14.57,
25.01.19 02:02:54,20.83,280.06,280.5,279.17,273.02,291.6,282.27,284.48,283.6,284.48,284.93,279.17,277.85,284.48,288.48,281.38,277.85,287.15,288.93,291.6,278.73,315.56,297.43,291.16,296.53,,14,968,28.5,14.57,
25.01.19 02:03:09,21.08,279.62,280.5,278.73,273.89,289.37,282.27,284.04,282.71,283.15,283.15,279.17,280.06,282.71,288.04,283.15,276.97,286.26,286.26,289.37,278.29,315.56,294.29,296.98,295.18,,14,968,28.5,14.55,
25.01.19 02:03:24,21.33,278.73,279.62,280.06,273.02,288.93,281.82,285.81,281.38,283.6,282.71,277.85,279.17,282.27,286.7,280.5,273.89,284.48,288.48,289.37,275.65,309.63,296.98,293.39,288.93,,14,968,28.5,14.55,
25.01.19 02:03:39,21.58,280.06,280.94,280.06,272.14,290.71,281.38,284.04,282.27,282.71,283.15,280.06,279.17,286.26,287.59,283.15,278.29,286.7,288.48,293.39,276.97,306.45,294.29,294.74,292.5,,14,968,28.5,14.57,
25.01.19 02:03:54,21.83,275.65,276.53,276.97,270.83,287.15,277.41,282.27,281.38,280.94,280.94,277.41,276.97,281.82,286.7,279.17,273.89,284.04,285.81,292.05,279.17,312.82,292.95,296.08,282.71,,14,968,28.5,14.55,
25.01.19 02:04:09,22.08,280.06,280.94,278.29,272.14,288.48,281.82,284.48,282.71,284.48,283.6,278.73,280.06,283.15,288.93,282.71,277.85,287.59,288.93,289.82,273.45,311.91,291.16,294.74,288.04,,14,968,28.5,14.55,
25.01.19 02:04:25,22.35,276.09,276.97,275.65,269.51,288.93,278.29,282.71,281.38,281.82,279.62,277.41,276.53,283.6,284.93,280.94,273.89,284.04,284.48,294.29,274.77,306.91,289.82,296.53,289.37,,14,968,28.5,14.55,
25.01.19 02:04:40,22.6,278.73,281.38,279.17,272.14,291.16,283.6,283.15,283.6,283.6,282.27,277.85,279.17,283.15,287.15,282.71,277.41,288.04,288.93,292.95,276.09,311.91,292.5,296.08,289.82,,14,968,28.5,14.55,
