Measurement Name :,20190418_resp_1_T1_T3,,Generated On :,"18/04/2019, 17:24:25",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"18/04/2019, 16:53:54",,,,,,Batch No.:  ,PSt5-1814-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"18/04/2019, 17:24:16",,,,,,O2_cal0 [°],54.84,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],968,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
18.04.19 16:53:56,0.03,280.06,276.46,282.32,286.39,283.22,281.41,285.48,282.77,280.06,289.57,285.48,284.58,285.93,288.2,291.84,277.36,277.36,290.02,291.39,278.26,285.03,287.3,287.3,276.91,,13,968,29,14.7,
18.04.19 16:54:11,0.28,277.81,274.67,280.51,284.12,280.96,279.61,283.67,280.96,278.26,287.75,284.12,283.22,284.12,287.3,290.48,275.57,275.57,288.2,289.57,276.46,282.32,285.03,284.58,274.67,,13,968,29,14.79,
18.04.19 16:54:26,0.53,276.46,272.88,279.61,282.77,279.61,279.16,282.77,279.61,276.91,285.93,283.22,281.86,282.77,285.93,289.57,274.22,274.22,287.3,288.66,275.12,280.51,283.67,284.12,273.77,,13,968,29,14.88,
18.04.19 16:54:41,0.78,275.12,272.43,278.26,281.86,278.71,277.81,282.32,279.61,276.46,285.48,282.32,280.51,281.41,285.03,288.66,273.32,273.32,286.84,287.75,273.77,280.06,282.32,282.32,272.43,,13,968,29,14.91,
18.04.19 16:54:56,1.03,273.77,271.54,277.36,280.51,276.91,276.91,281.41,279.16,275.12,284.58,281.41,280.06,280.51,284.58,287.3,272.43,272.43,285.03,286.39,273.32,279.16,281.86,281.41,271.54,,13,968,29,14.97,
18.04.19 16:55:11,1.28,272.88,270.64,276.91,279.16,276.01,276.46,280.96,278.26,274.67,284.12,280.51,279.61,279.61,283.22,286.84,272.43,271.98,285.03,286.39,272.43,278.26,280.96,280.96,271.09,,13,968,29,15,
18.04.19 16:55:26,1.53,271.98,270.2,276.01,278.26,275.12,275.57,280.06,277.36,273.77,282.77,280.06,279.16,278.71,282.77,285.93,271.09,271.09,283.22,285.48,271.09,276.91,280.06,279.61,270.64,,13,968,29,15.04,
18.04.19 16:55:41,1.78,271.09,269.75,275.12,277.81,274.67,275.12,279.61,276.46,273.32,282.77,280.06,278.26,277.81,282.32,285.03,270.64,270.64,283.22,284.58,270.64,276.46,279.16,278.71,268.86,,13,968,29,15.07,
18.04.19 16:55:56,2.03,270.2,269.3,274.67,277.36,273.32,274.22,279.61,275.57,272.88,281.86,278.71,278.26,276.91,281.86,284.12,269.75,269.75,282.32,283.22,269.75,275.57,279.16,278.71,268.86,,13,968,29,15.09,
18.04.19 16:56:11,2.28,270.2,268.41,274.67,276.46,273.32,273.77,278.71,275.57,272.43,281.41,278.71,277.81,276.91,281.86,284.58,269.3,269.75,282.32,283.22,269.3,276.01,278.26,278.26,268.86,,13,968,29,15.13,
18.04.19 16:56:26,2.53,269.3,268.41,274.22,276.01,272.43,272.88,278.26,274.67,271.54,280.51,277.36,277.36,276.46,280.96,283.67,269.3,268.41,281.41,282.32,268.41,274.67,277.81,277.36,268.41,,13,968,29,15.15,
18.04.19 16:56:41,2.78,268.86,267.52,273.32,275.12,271.98,272.43,277.81,274.22,271.09,280.06,277.36,276.91,275.12,280.06,282.77,268.41,268.41,280.51,281.41,268.41,274.22,277.81,277.36,267.97,,13,968,29,15.18,
18.04.19 16:56:56,3.03,268.41,267.52,273.32,275.12,271.54,271.98,277.36,273.77,271.09,279.61,276.91,276.46,275.12,280.06,282.32,268.41,267.97,280.06,280.96,267.52,274.22,276.91,276.46,267.52,,13,968,29,15.2,
18.04.19 16:57:12,3.3,268.41,267.08,272.88,275.12,271.09,272.43,277.81,274.22,270.64,279.16,276.91,276.01,274.22,279.61,281.86,268.41,267.97,279.61,280.51,267.52,273.77,276.46,276.46,267.52,,13,968,29,15.22,
18.04.19 16:57:27,3.55,267.97,267.08,272.88,274.22,270.2,271.54,277.36,273.77,270.64,278.71,276.46,276.01,274.22,279.16,281.86,267.52,267.52,279.16,280.06,267.08,272.88,276.46,276.46,267.08,,13,968,29,15.22,
18.04.19 16:57:42,3.8,267.08,266.19,271.98,273.77,269.75,270.64,276.46,273.32,269.75,278.26,275.57,275.57,272.88,278.26,280.96,267.08,266.63,278.26,279.16,266.19,272.88,276.01,275.57,266.19,,13,968,29,15.23,
18.04.19 16:57:57,4.05,267.08,266.63,272.43,273.77,270.2,271.09,277.36,274.22,270.2,278.71,275.57,275.57,273.77,278.71,281.41,267.08,267.08,278.71,280.06,267.08,272.88,276.01,276.01,266.63,,13,968,29,15.25,
18.04.19 16:58:12,4.3,267.08,265.74,272.43,273.77,270.2,270.64,276.91,273.77,269.75,277.81,276.01,275.12,273.32,278.26,280.96,267.08,267.08,277.81,278.71,266.63,273.32,275.57,276.01,267.08,,13,968,29,15.27,
18.04.19 16:58:27,4.55,266.19,265.74,271.98,272.88,268.86,270.2,276.46,273.32,268.86,277.36,274.67,275.12,272.43,277.81,280.06,266.63,266.63,276.91,278.26,265.74,271.54,275.12,275.12,265.74,,13,968,29,15.27,
18.04.19 16:58:42,4.8,266.19,265.74,271.54,272.43,268.86,270.2,276.46,272.43,269.3,276.91,275.12,274.22,272.43,277.81,280.06,266.19,266.19,276.91,277.81,265.3,271.98,275.12,274.67,265.74,,13,968,29,15.27,
18.04.19 16:58:57,5.05,266.19,265.74,271.54,272.88,268.41,269.75,276.46,272.43,268.86,276.01,274.67,273.77,271.98,277.36,279.16,265.74,265.74,276.91,277.36,265.3,271.98,274.67,274.67,265.74,,13,968,29,15.29,
18.04.19 16:59:12,5.3,266.63,265.3,271.98,272.88,268.86,269.75,276.01,272.88,269.3,276.91,274.67,274.67,272.43,277.36,279.61,266.19,266.19,276.46,277.81,265.74,272.43,275.12,275.12,266.19,,13,968,29,15.29,
18.04.19 16:59:27,5.55,265.74,264.85,271.09,271.54,267.97,269.75,276.01,272.43,268.41,276.01,274.67,273.77,271.98,276.91,278.71,265.74,266.19,276.01,276.91,265.3,271.54,274.67,274.22,265.74,,13,968,29,15.29,
18.04.19 16:59:42,5.8,265.74,265.3,271.09,272.43,267.97,269.75,276.01,271.98,269.3,276.46,274.67,274.22,271.54,277.36,278.71,265.74,266.19,275.57,277.81,265.3,271.98,274.67,274.67,265.3,,13,968,29,15.32,
18.04.19 16:59:57,6.05,265.74,264.85,270.64,272.43,267.52,268.86,275.57,271.98,267.97,275.57,274.22,273.32,270.64,276.01,278.26,265.74,265.3,275.12,276.46,264.85,271.54,274.22,274.22,265.3,,13,968,29,15.32,
18.04.19 17:00:12,6.3,265.74,264.85,271.09,272.43,267.52,269.3,275.57,271.98,267.97,276.01,274.22,273.77,270.64,276.91,278.26,265.74,265.3,274.67,276.91,264.41,271.98,274.22,273.77,265.3,,13,968,29,15.34,
18.04.19 17:00:27,6.55,265.3,264.85,270.64,271.98,267.97,268.86,275.57,271.98,268.41,275.57,273.32,273.32,271.09,276.01,277.81,265.74,265.3,275.12,276.46,264.85,271.09,274.22,273.77,265.3,,13,968,29,15.34,
18.04.19 17:00:42,6.8,265.3,264.85,270.64,271.98,267.52,268.86,276.01,271.98,267.52,275.57,273.77,273.32,270.64,276.01,277.36,265.3,265.3,274.67,276.46,264.41,271.54,274.22,273.77,264.85,,13,968,29,15.34,
18.04.19 17:00:57,7.05,265.74,265.3,271.09,272.43,267.52,269.3,276.01,271.98,267.97,275.57,273.77,273.77,270.64,276.46,277.81,265.74,265.3,274.67,276.46,264.41,271.98,274.22,274.22,265.3,,13,968,29,15.34,
18.04.19 17:01:12,7.3,264.85,264.41,270.64,271.54,267.08,268.86,275.12,271.54,267.97,275.12,272.88,273.77,270.64,275.57,277.81,265.3,264.85,274.22,276.46,263.97,271.09,274.22,274.22,264.85,,13,968,29,15.34,
18.04.19 17:01:27,7.55,264.85,264.41,270.64,271.09,267.08,268.41,274.67,271.09,267.97,275.12,273.32,272.88,270.2,275.57,277.36,264.85,264.41,273.77,276.01,263.97,271.09,273.77,273.77,264.85,,13,968,29,15.34,
18.04.19 17:01:42,7.8,265.3,265.3,270.64,271.98,267.52,268.86,275.57,271.98,267.97,275.12,273.77,273.32,270.2,276.01,277.36,264.85,265.3,274.67,276.01,264.41,271.09,274.22,273.77,265.3,,13,968,29,15.36,
18.04.19 17:01:57,8.05,265.3,264.41,270.64,271.54,267.08,268.41,274.67,271.54,267.97,274.67,273.77,273.32,270.2,275.57,276.91,264.85,264.85,273.77,275.57,263.97,271.09,273.32,273.77,264.85,,13,968,29,15.36,
18.04.19 17:02:12,8.3,265.3,265.3,270.64,271.54,267.08,268.86,275.12,271.54,267.97,274.67,273.77,273.32,269.75,275.57,277.36,264.85,265.3,274.22,276.01,263.97,271.09,273.77,273.77,264.85,,13,968,29,15.36,
18.04.19 17:02:27,8.55,263.97,264.41,269.75,271.09,266.19,267.97,274.22,271.09,267.52,274.22,272.88,272.88,269.3,275.12,276.46,264.41,264.85,273.77,275.57,263.08,270.64,273.32,273.32,263.97,,13,968,29,15.36,
18.04.19 17:02:42,8.8,264.41,264.41,269.75,271.09,266.19,267.52,274.22,271.54,267.52,273.77,272.43,272.43,268.86,274.67,276.01,264.41,264.41,273.32,275.57,263.08,270.64,273.32,273.77,264.41,,13,968,29,15.38,
18.04.19 17:02:57,9.05,264.85,264.41,270.64,271.09,266.63,268.41,275.12,271.09,267.97,274.67,272.88,272.88,269.3,275.12,276.46,264.85,264.85,273.77,276.01,263.52,270.64,273.32,273.77,264.85,,13,968,29,15.36,
18.04.19 17:03:12,9.3,264.85,264.41,270.2,271.54,266.19,268.41,274.67,271.09,267.52,274.22,272.88,272.43,269.3,275.12,276.01,263.97,264.41,273.32,275.57,263.08,271.09,273.32,273.32,264.85,,13,968,29,15.38,
18.04.19 17:03:27,9.55,263.97,263.52,269.75,270.64,265.74,267.08,274.22,270.64,266.63,273.32,272.43,272.43,268.41,274.67,275.57,264.41,263.97,272.88,275.12,262.64,270.2,273.32,273.32,264.85,,13,968,29,15.36,
18.04.19 17:03:42,9.8,264.41,263.52,269.75,270.64,266.19,267.97,275.12,271.09,267.08,273.77,272.88,272.43,268.86,274.67,276.01,263.97,264.41,273.32,275.12,263.08,271.09,273.32,273.32,264.85,,13,968,29,15.36,
18.04.19 17:03:57,10.05,263.97,263.52,269.75,270.64,265.74,267.52,274.22,270.2,266.63,273.77,272.43,271.98,267.97,274.67,275.12,263.52,263.97,273.32,275.12,262.64,270.64,272.88,272.88,264.41,,13,968,29,15.36,
18.04.19 17:04:12,10.3,263.97,263.97,269.75,270.64,265.74,267.52,274.22,271.09,267.08,273.32,272.43,271.98,268.86,274.22,275.57,264.41,264.41,273.32,275.12,263.08,270.2,273.32,272.88,264.41,,13,968,29,15.36,
18.04.19 17:04:27,10.55,263.97,263.97,270.2,270.2,265.3,267.52,274.67,270.64,267.08,273.77,272.43,271.98,267.97,274.22,275.12,263.97,263.97,272.88,275.12,262.64,270.64,272.88,272.88,264.41,,13,968,29,15.38,
18.04.19 17:04:42,10.8,264.41,263.97,270.2,271.09,266.19,267.52,275.12,271.09,267.08,272.88,271.98,271.98,267.97,274.67,275.57,263.97,264.41,273.32,276.01,263.08,270.64,273.32,273.77,265.3,,13,968,29,15.38,
18.04.19 17:04:57,11.05,263.97,263.52,269.75,269.75,265.3,267.08,274.22,270.64,266.63,272.88,272.43,271.98,267.97,274.22,275.12,263.52,263.97,272.88,274.67,262.64,269.75,272.88,273.32,263.97,,13,968,29,15.38,
18.04.19 17:05:12,11.3,263.97,263.52,269.3,270.2,265.74,267.08,274.22,270.64,266.63,273.32,271.98,271.98,268.41,273.77,274.67,263.97,263.97,272.43,274.67,262.64,270.64,272.88,272.88,264.41,,13,968,29,15.36,
18.04.19 17:05:27,11.55,263.52,263.08,269.75,269.75,264.85,266.63,273.77,270.2,266.63,272.43,271.54,271.54,267.52,273.77,274.22,263.08,263.52,272.43,274.22,261.75,270.2,272.43,272.88,263.97,,13,968,29,15.36,
18.04.19 17:05:42,11.8,263.52,263.52,269.75,270.2,265.3,267.08,273.77,270.64,267.08,272.88,271.54,271.54,267.52,273.77,274.67,263.52,263.52,272.43,274.22,262.19,270.2,272.88,272.88,264.41,,13,968,29,15.36,
18.04.19 17:05:57,12.05,263.52,263.52,269.75,270.64,265.3,267.08,274.67,270.64,267.08,272.88,271.98,271.54,267.52,274.22,275.12,263.08,263.97,272.88,274.67,262.19,270.64,272.43,272.43,264.41,,13,968,29,15.38,
18.04.19 17:06:12,12.3,263.52,263.52,269.75,270.2,265.3,267.08,274.22,270.64,266.63,273.32,271.54,271.54,267.52,273.77,274.67,263.52,263.97,272.43,274.67,262.19,270.64,272.88,272.88,263.97,,13,968,29,15.36,
18.04.19 17:06:27,12.55,263.52,263.08,269.3,269.75,264.85,267.08,274.22,270.64,266.63,272.43,271.54,271.54,267.52,273.77,274.22,263.08,263.97,272.43,274.22,261.75,270.2,272.88,272.88,263.97,,13,968,29,15.36,
18.04.19 17:06:42,12.8,263.52,263.08,269.3,270.2,264.85,266.63,274.22,270.2,266.63,271.98,271.54,271.09,266.63,273.32,274.22,263.08,263.52,272.43,274.67,262.19,269.75,272.43,272.88,264.41,,13,968,29,15.36,
18.04.19 17:06:57,13.05,263.52,263.52,269.3,269.75,264.85,266.63,274.22,270.2,266.19,272.88,271.54,271.09,266.63,273.32,273.77,263.52,263.52,272.43,274.67,262.19,269.75,272.88,272.43,263.97,,13,968,29,15.36,
18.04.19 17:07:12,13.3,263.08,263.08,268.86,270.2,264.41,266.63,274.22,270.2,266.63,272.43,271.54,271.54,267.08,273.32,274.22,263.08,263.08,271.98,274.22,261.75,269.75,272.88,272.88,263.97,,13,968,29,15.36,
18.04.19 17:07:27,13.55,263.52,263.08,269.3,270.2,264.85,266.63,274.22,270.2,265.74,272.43,271.09,271.09,267.08,272.88,274.22,263.08,263.52,272.43,274.22,261.75,270.2,272.43,272.88,263.97,,13,968,29,15.36,
18.04.19 17:07:42,13.8,263.08,263.08,269.3,269.75,264.41,266.63,274.67,270.2,266.63,271.98,271.54,271.09,266.19,272.88,273.77,263.08,263.08,271.98,273.77,261.31,269.75,272.88,272.88,264.41,,13,968,29,15.34,
